vt_id,vt_app_type,vt_entry_term,satv_use,satm_use,satcomp_use,act_eng,act_math,act_read,act_sci,act_comp,nc1,nc2,nc3,ncav,EQ1_score-rator1,EQ1_score-rator2,EQ1_score-rator3,EQ1_score-rator4,EQ2_score-rator1,EQ2_score-rator2,EQ2_score-rator3,EQ2_score-rator4,EQ3_score-rator1,EQ3_score-rator2,EQ3_score-rator3,EQ3_score-rator4,EQ4_score-rator1,EQ4_score-rator2,EQ4_score-rator3,EQ4_score-rator4,hs_gpa,college_gpa,vt_major,vt_coll,vt_gpa_1yr,vt_grad_gpa,vt_adm_dec,vt_app_response,enr_after_first_yr,gender,age,ethnic/race,country_citz,residency,state
F11,F,Summer,573,761,1334,28,19,26,35,21,7,5,9,3,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.17,1.66,Psychology,Engineering,2.79,2.64,rejected,No Response,True,Female,24,Native American,USA,In-State,CA
F12,F,,406,748,1154,32,29,24,18,33,10,5,6,5,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.2,3.95,BIOL,Business,2.14,3.92,admitted,,True,Female,20,Hispanics of any race,USA,International,TX
F13,F,Summer,453,585,1038,29,27,26,24,36,3,3,12,9,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',3.31,3.19,Physics,Education,3.17,2.78,rejected,No Response,False,Male,23,Hispanics of any race,India,International,MD
F14,F,Fall,531,442,973,31,26,20,22,27,3,10,10,6,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',3.18,3.3,Computer Science,Business,1.71,1.6,rejected,Enroll,,,21,White,,Out-of-State,CA
F15,F,Fall,436,522,958,21,21,31,32,25,9,7,10,1,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',1.77,3.36,Math,Liberal Arts,2.93,3.01,rejected,Enroll,True,Male,22,Black or African American,Mexico,In-State,MD
F16,F,Spring,426,477,903,36,30,27,22,24,7,3,5,1,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',2.85,1.73,Computer Science,Business,1.0,3.16,rejected,Enroll,True,,24,Asian,Canada,International,TX
F17,F,Fall,782,505,1287,29,35,23,22,36,12,10,3,2,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',2.6,2.5,BIOL,Engineering,2.21,1.52,waitlisted,No Response,False,Male,25,Hispanics of any race,India,In-State,TX
F18,T,Spring,424,575,999,33,30,28,22,33,2,10,10,3,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',3.27,2.06,Engineering,Engineering,1.06,1.91,rejected,,True,Male,21,Black or African American,Canada,In-State,CA
F19,T,Spring,403,787,1190,20,26,27,35,30,4,1,11,10,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.32,3.24,Math,Business,2.49,1.6,waitlisted,No Response,False,Female,27,Black or African American,,,CA
F20,T,,712,743,1455,21,22,34,26,25,3,2,3,3,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',1.62,2.95,Math,Business,2.23,2.9,rejected,,True,Female,27,Asian,India,Out-of-State,CA
F21,T,Fall,600,453,1053,27,19,28,36,24,1,8,10,5,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',3.13,1.61,Psychology,Business,1.85,2.37,rejected,No Response,True,,20,Black or African American,China,,
F22,F,,550,507,1057,31,29,23,23,34,10,4,11,3,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',2.22,2.26,BIOL,Business,1.92,1.91,rejected,No Response,True,,17,,,Out-of-State,MD
F23,F,Spring,764,763,1527,31,31,23,26,30,12,5,12,8,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',2.62,3.98,Physics,Education,2.95,3.35,admitted,No Response,False,Male,25,Hispanics of any race,India,International,VA
F24,F,,583,641,1224,26,24,33,36,23,10,8,11,1,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',3.19,3.04,Psychology,Engineering,1.64,2.61,rejected,Enroll,True,Female,22,White,Mexico,International,
F25,T,,581,704,1285,28,36,22,22,30,7,3,5,9,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',3.22,3.24,Computer Science,College of Science,1.9,3.42,rejected,No Response,True,Not Available,22,Black or African American,Mexico,International,MD
F26,T,Fall,404,481,885,21,18,33,28,22,4,4,9,6,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',2.63,1.52,Math,College of Science,2.98,1.63,rejected,Enroll,True,Not Available,25,Native American,Mexico,Out-of-State,VA
F27,F,,715,666,1381,27,26,35,34,23,10,4,9,12,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.43,2.78,Psychology,Business,3.25,3.16,rejected,Enroll,False,Male,21,Hispanics of any race,India,In-State,TX
F28,T,Spring,733,624,1357,33,33,22,19,25,6,4,1,5,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',2.54,2.59,Physics,Education,3.23,3.96,admitted,,False,Female,28,Asian,China,In-State,MD
F29,T,,589,709,1298,36,26,20,20,33,7,5,12,7,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',1.92,1.99,Computer Science,Liberal Arts,2.07,3.5,waitlisted,No Response,False,Not Available,25,Hispanics of any race,India,Out-of-State,NY
F30,F,,784,662,1446,31,27,25,24,31,9,9,7,9,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',2.82,3.66,Physics,Business,3.38,3.53,admitted,No Response,True,Not Available,19,Native American,Canada,International,TX
F31,F,Spring,407,504,911,35,32,23,23,31,10,5,4,7,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.62,2.44,Physics,College of Science,2.0,3.32,rejected,Enroll,True,Male,23,White,Mexico,Out-of-State,CA
F32,T,Summer,761,464,1225,29,31,23,21,36,4,12,9,1,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',1.75,2.83,BIOL,Business,2.62,2.46,waitlisted,Enroll,True,Male,28,Hispanics of any race,USA,Out-of-State,NY
F33,T,Fall,520,485,1005,24,27,33,32,23,11,9,6,3,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',2.17,3.32,Math,College of Science,3.66,3.19,admitted,No Response,False,Not Available,17,Asian,China,,MD
F34,F,,616,719,1335,22,24,32,33,24,4,7,6,7,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',2.35,3.39,Psychology,Education,3.93,2.65,admitted,Enroll,True,Female,22,Native American,Mexico,International,MD
F35,F,,505,435,940,32,27,25,22,32,9,1,6,6,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',1.63,3.33,Computer Science,College of Science,3.49,2.23,rejected,No Response,False,Not Available,27,Black or African American,India,International,NY
F36,T,Spring,461,585,1046,26,29,20,19,36,5,2,9,5,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',2.19,1.61,Computer Science,College of Science,2.23,1.63,rejected,No Response,True,Male,,White,India,In-State,NY
F37,T,Fall,742,467,1209,33,28,28,24,32,12,7,12,11,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',2.29,2.65,Physics,Business,2.85,1.94,waitlisted,Enroll,True,Female,24,Hispanics of any race,China,International,CA
F38,F,Spring,652,444,1096,20,19,27,27,26,4,4,3,3,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',2.77,3.54,Psychology,College of Science,3.5,3.49,admitted,No Response,False,Female,26,White,,Out-of-State,NY
F39,T,Spring,444,516,960,19,18,28,28,25,1,4,5,4,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.09,2.02,Psychology,College of Science,2.07,2.7,rejected,,True,Not Available,24,White,Mexico,In-State,TX
F40,T,Summer,658,632,1290,26,36,21,23,27,4,7,10,3,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.57,2.97,BIOL,Education,1.78,2.22,rejected,Enroll,False,Not Available,19,Black or African American,Mexico,In-State,VA
F41,F,Spring,781,549,1330,33,32,28,26,26,2,5,10,9,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.84,3.05,Engineering,Business,3.12,3.03,admitted,No Response,False,Female,23,Asian,China,Out-of-State,NY
F42,T,,513,402,915,27,33,21,21,26,4,4,2,4,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',1.84,2.83,BIOL,Business,1.98,3.45,rejected,No Response,False,Female,21,Asian,Canada,International,NY
F43,F,Summer,711,463,1174,27,27,18,23,30,1,8,12,8,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.78,1.77,BIOL,Business,1.72,2.46,rejected,,True,Female,25,Hispanics of any race,,International,
F44,F,Spring,662,513,1175,27,33,18,22,24,2,4,6,5,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',2.07,2.7,Computer Science,Liberal Arts,3.02,3.42,admitted,Enroll,True,Not Available,19,,Canada,International,NY
F45,F,Summer,574,789,1363,24,28,34,35,20,2,9,11,8,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.5,3.17,Math,College of Science,3.13,2.68,admitted,No Response,True,Not Available,21,Native American,China,Out-of-State,NY
F46,F,Spring,485,401,886,21,23,36,34,23,10,4,6,12,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.53,3.17,Math,Engineering,1.08,2.35,rejected,No Response,True,Female,22,Hispanics of any race,China,International,TX
F47,T,Summer,572,457,1029,26,22,36,28,23,9,1,7,7,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',2.44,2.7,Math,Liberal Arts,1.13,1.67,waitlisted,Enroll,True,Female,19,Native American,India,Out-of-State,VA
F48,F,Summer,487,629,1116,26,26,26,28,29,7,3,1,9,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',2.83,2.53,Math,Engineering,2.02,1.64,waitlisted,Enroll,True,Female,,Black or African American,Mexico,In-State,TX
F49,F,,655,599,1254,30,29,22,25,26,7,11,7,7,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',3.97,3.7,BIOL,Liberal Arts,2.46,3.76,admitted,Enroll,False,Not Available,19,Asian,China,Out-of-State,
F50,F,Fall,790,618,1408,26,21,33,28,21,1,2,4,4,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.04,3.07,Math,Business,2.04,3.64,admitted,No Response,True,Male,25,Black or African American,China,Out-of-State,MD
F51,F,Summer,464,481,945,34,33,27,23,25,8,11,11,11,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',2.17,2.91,Engineering,Engineering,1.91,3.38,rejected,Enroll,True,Male,21,Hispanics of any race,India,International,VA
F52,F,,536,485,1021,24,21,33,34,22,10,9,2,3,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',2.71,2.26,Math,Education,1.73,2.47,waitlisted,No Response,True,Female,24,Hispanics of any race,China,In-State,MD
F53,T,,796,667,1463,18,22,27,32,21,3,8,8,7,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',2.68,2.73,Math,Liberal Arts,3.71,3.61,admitted,Enroll,False,Female,,Hispanics of any race,Canada,Out-of-State,VA
F54,F,,413,697,1110,27,32,28,24,31,6,5,10,2,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',1.74,1.81,Engineering,Business,2.58,2.61,rejected,No Response,False,Female,20,White,China,In-State,TX
F55,T,Spring,614,789,1403,24,23,27,28,21,12,3,11,10,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',3.41,3.25,Math,Business,1.42,2.33,rejected,No Response,False,Male,24,Hispanics of any race,Mexico,Out-of-State,VA
F56,F,Summer,768,453,1221,32,29,23,22,33,8,2,12,1,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',2.04,2.92,Computer Science,Education,1.84,2.36,rejected,No Response,False,Not Available,27,Native American,Mexico,International,VA
F57,T,Spring,746,673,1419,33,30,18,23,27,6,4,6,1,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',2.37,3.22,Engineering,College of Science,3.24,3.68,admitted,No Response,False,Male,20,White,,International,MD
F58,F,Summer,459,705,1164,30,31,22,28,24,2,4,5,10,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.71,2.3,Computer Science,Engineering,1.04,3.46,rejected,Enroll,False,Female,19,Native American,China,Out-of-State,NY
F59,T,,513,468,981,26,18,30,36,26,10,3,12,7,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',1.69,2.09,Psychology,College of Science,3.17,1.83,rejected,Enroll,True,Female,25,Native American,China,International,MD
F60,T,Summer,596,490,1086,22,27,27,31,27,9,9,4,9,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.71,2.36,Math,Engineering,1.18,2.62,rejected,Enroll,True,Female,20,Asian,China,Out-of-State,CA
F61,F,,543,725,1268,36,28,20,26,34,6,8,5,6,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',2.34,3.46,Engineering,Engineering,2.43,2.9,waitlisted,Enroll,True,Male,22,Hispanics of any race,India,Out-of-State,
